firstName,lastName,country,salaryHourly,rateAvg,category,type,empCategory,benifitsHourlytotal,benHeatlh,benTrans,benAttendence,benPunctuality,benFood,benTimeOff,benBonusHoliday,benBonusYearEnd,benTechSkill,benPerformance,benOther,benShelter,tenantId,programId,userId,employeeId,customerId,equipmentId,lineId,locationId,category,type,keywords,status,sysState
Frank,Lastname01,CHINA,12,12,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0001,CST-001-00001-0001,EQP-001-00001-0001,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Jim,Lastname02,VIETNAM,10,10,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0002,CST-001-00001-0001,EQP-001-00001-0002,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
John,Lastname03,MALAYSIA,12,12,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0003,CST-001-00001-0001,EQP-001-00001-0003,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Sally,Lastname04,MEXICO,9,9,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0004,CST-001-00001-0001,EQP-001-00001-0004,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Fran,Lastname05,USA,25,25,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0005,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Jenny,Lastname06,USA,25,25,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0006,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Jake,Lastname07,CHINA,13,13,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0007,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Sally,Lastname08,CHINA,13,32,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0008,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Fran,Lastname09,CHINA,13,51,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0009,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Jenny,Lastname10,CHINA,13,70,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0010,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Jake,Lastname11,CHINA,13,89,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0011,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Sally,Lastname12,CHINA,13,108,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0012,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Fran,Lastname13,CHINA,13,127,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0013,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Jenny,Lastname14,CHINA,13,146,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0014,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
Jake,Lastname15,CHINA,13,165,,,DL,,,,,,,,,,,,,,TNT-001-00001-0001,PRG-001-00001-0001,tenantAdmin@tenantAdmin.com,EMP-001-00001-0015,CST-001-00001-0001,EQP-001-00001-0005,LINE-1001-10010,LOC-001-00001-0001,,,,APPROVED,OPEN
